State,District,Name,Rating
CA,21,Costa,LIKELY DEMOCRAT
CA,45,Tran,LIKELY DEMOCRAT
IN,1,Mrvan,LIKELY DEMOCRAT
MI,8,McDonald Rivet,LIKELY DEMOCRAT
MN,2,OPEN (Craig),LIKELY DEMOCRAT
NH,1,OPEN (Pappas),LIKELY DEMOCRAT
NJ,9,Pou,LIKELY DEMOCRAT
NV,1,Titus,LIKELY DEMOCRAT
NV,4,Horsford,LIKELY DEMOCRAT
NY,19,Riley,LIKELY DEMOCRAT
OH,13,Sykes,LIKELY DEMOCRAT
VA,7,Vindman,LIKELY DEMOCRAT
CA,13,Gray,LEAN DEMOCRAT
CA,48,OPEN (Issa),LEAN DEMOCRAT
NE,2,OPEN (Bacon),LEAN DEMOCRAT
NM,2,Vasquez,LEAN DEMOCRAT
NV,3,Lee,LEAN DEMOCRAT
NY,3,Suozzi,LEAN DEMOCRAT
NY,4,Gillen,LEAN DEMOCRAT
OH,1,Landsman,LEAN DEMOCRAT
TX,28,Cuellar,LEAN DEMOCRAT
AZ,1,OPEN (Schweikert),TOSS UP
AZ,6,Ciscomani,TOSS UP
CA,22,Valadao,TOSS UP
CO,8,Evans,TOSS UP
FL,14,Castor,TOSS UP
FL,25,Moskowitz,TOSS UP
IA,1,Miller-Meeks,TOSS UP
IA,3,Nunn,TOSS UP
MI,7,Barrett,TOSS UP
MI,10,OPEN (James),TOSS UP
NJ,7,Kean Jr.,TOSS UP
NY,17,Lawler,TOSS UP
OH,9,Kaptur,TOSS UP
OH,7,Miller,TOSS UP
PA,7,Mackenzie,TOSS UP
PA,8,Bresnahan,TOSS UP
PA,10,Perry,TOSS UP
TX,34,Gonzalez,TOSS UP
VA,2,Kiggans,TOSS UP
WA,3,Perez,TOSS UP
WI,3,Van Orden,TOSS UP
FL,22,OPEN (Frankel),LEAN REPUBLICAN
IA,2,OPEN (Hinson),LEAN REPUBLICAN
MI,4,Huizenga,LEAN REPUBLICAN
NC,1,Davis,LEAN REPUBLICAN
NC,11,OPEN (Edwards),LEAN REPUBLICAN
TX,15,De La Cruz,LEAN REPUBLICAN
VA,1,Wittman,LEAN REPUBLICAN
AK,AL,Begich III,LIKELY REPUBLICAN
AL,2,Figures,LIKELY REPUBLICAN
AZ,2,Crane,LIKELY REPUBLICAN
CO,3,Hurd,LIKELY REPUBLICAN
CO,5,Crank,LIKELY REPUBLICAN
FL,7,OPEN (Mills),LIKELY REPUBLICAN
FL,9,Soto,LIKELY REPUBLICAN
FL,13,Luna,LIKELY REPUBLICAN
FL,27,Salazar,LIKELY REPUBLICAN
KY,6,OPEN (Barr),LIKELY REPUBLICAN
ME,2,OPEN (Golden),LIKELY REPUBLICAN
MN,1,Finstad,LIKELY REPUBLICAN
MT,1,OPEN (Zinke),LIKELY REPUBLICAN
OH,10,Turner,LIKELY REPUBLICAN
OH,15,Carey,LIKELY REPUBLICAN
PA,1,Fitzpatrick,LIKELY REPUBLICAN
SC,1,OPEN (Mace),LIKELY REPUBLICAN
TX,23,VACANT,LIKELY REPUBLICAN
TX,35,OPEN (Casar),LIKELY REPUBLICAN
WI,1,Steil,LIKELY REPUBLICAN
