X,Y,NAME,WEB_URL,RELIGION,ADDRESS,PLACE_OF_WORSHIP,IS_PLACE_OF_WORSHIP,MAR_ID,GIS_ID,XCOORD,YCOORD,SE_ANNO_CAD_DATA,GLOBALID,CREATED,EDITED,OBJECTID
-8575595.59883786,4719914.87560884,FIRST UNITED CHR-CHRIST APSTLC,<Null>,CHRISTIAN,7901 16TH ST NW,CHURCHES,1,,PlacesofWorshipPt_419,396891.14,146644.42,,{A37E0530-9101-4A11-9925-D9C02BE50B83},,,1
-8574980.39637941,4719811.82575995,ST MARY'S BAPTIST CHURCH,STMARYSBAPTIST.ORG,CHRISTIAN,8008 EASTERN AVE NW,CHURCHES,1,,PlacesofWorshipPt_425,397369.91,146564.37,,{761F7F22-4001-4357-BF41-AF88B0174873},,,2
-8574855.78018323,4719704.59434846,INTERNATIONAL ETHIOPIAN,EECDC.ORG,CHRISTIAN,7930 EASTERN AVE NW,CHURCHES,1,,PlacesofWorshipPt_447,397466.87,146481.22,,{6633E7DE-A5BC-4EB7-ADEB-94169649E976},,,3
-8574806.04175551,4719618.85772616,SHEPHERD PARK CHRISTIAN CHURCH,SHEPHERDPARKCHRISTIANCHURCH.ORG,CHRISTIAN,7900 EASTERN AVE NW,CHURCHES,1,,PlacesofWorshipPt_462,397505.56,146414.75,,{7BAF3E76-1F0D-4BF8-8EA6-83816C6522D5},,,4
-8575707.32070444,4719564.70982162,FABRANGEN,FABRANGEN.ORG,JEWISH,7750 16TH ST NW,SYNAGOGUES,1,,PlacesofWorshipPt_476,396804.08,146373.03,,{822EF918-D018-4D41-BE1A-283D2519439E},,,5
-8575712.36618542,4719395.42472236,OHEV SHOLOM - THE NATIONAL SYNAGOGUE,OSTNS.ORG,JEWISH,1600 JONQUIL ST NW,SYNAGOGUES,1,,PlacesofWorshipPt_450,396800.1,146241.81,,{B0ED09F7-0A98-46DA-B06A-1C0C0EB33907},,,6
-8574687.60751944,4719334.08578871,Northminster Presbyterian Church,NORTHMINSTERDC.ORG,CHRISTIAN,7720 ALASKA AVENUE NW,CHURCHES,1,253620,PlacesofWorshipPt_613,397597.67,146193.98,,{8E4F6D34-BC17-4B1D-9C6E-A96D6EC05DB9},,,7
-8575693.45151892,4719313.5629345,HANAFI MADHAB CENTER,,ISLAMIC,7700 16TH STREET NORTHWEST,MOSQUES,1,,PlacesofWorshipPt_750,396814.78125,146178.34375,,{EFA05243-C36E-4793-8E77-D59447419A1F},,,8
-8575585.67510848,4719311.57024702,TIFERETH ISRAEL CONGREGATION,TIFERETH-ISRAEL.ORG,JEWISH,7701 16TH ST NW,SYNAGOGUES,1,,PlacesofWorshipPt_392,396898.68,146176.77,,{11AC42B3-7035-4542-A95C-0BE7EE69160E},,,9
-8575585.67510848,4719311.57024702,HOPE TABERNACLE CHURCH OF GOD,HOPETABERNACLECOG.ORG,CHRISTIAN,7701 16TH ST NW,CHURCHES,1,,PlacesofWorshipPt_571,396898.68,146176.77,,{4FF24E58-E153-4E9D-B083-8F4C327A0A28},,,10
-8574590.11831143,4719168.70589851,NEW DIMENSIONS KINGDOM MNSTRS,,CHRISTIAN,7612 GEORGIA AVE NW # 14,CHURCHES,1,,PlacesofWorshipPt_482,397673.51,146065.76,,{9A23CD2D-FA2F-4207-A15C-410727242CCB},,,11
-8575143.88173548,4718545.82206435,NATI SPIRITUAL,NSSDC.ORG,CHRISTIAN,1325 FERN ST NW,CHURCHES,1,,PlacesofWorshipPt_449,397242.33,145583.04,,{96730FA7-53EC-45C9-B8DA-6CE16F8EDE49},,,12
-8574508.93400105,4718545.2246697,Shepherd Park Church Of God,,CHRISTIAN,7239 GEORGIA AVENUE NW,CHURCHES,1,254714,PlacesofWorshipPt_719,397736.56,145582.42,,{410C37B2-4EB8-47F8-848D-EC162E72B4F0},,,13
-8574506.58978418,4718478.96065956,New Second Baptist,,CHRISTIAN,7205 GEORGIA AVENUE NW,CHURCHES,1,254723,PlacesofWorshipPt_655,397738.37,145531.05,,{FA199805-DA23-4689-AE12-AF65FB15F4CD},,,14
-8575431.93699513,4718430.27984283,OUR LADY OF LEBANON,MARONITESEMINARY.ORG,CHRISTIAN,7164 ALASKA AVE NW,CHURCHES,1,,PlacesofWorshipPt_390,397018.08,145493.55,,{6966B974-91C4-460A-8884-18AEEBB06C16},,,15
-8574185.11499086,4718372.71824943,LIGHTHOUSE MINISTRIES,,CHRISTIAN,7114 7TH ST NW,CHURCHES,1,,PlacesofWorshipPt_559,397988.58,145448.62,,{A0CD522A-8995-4252-85D7-F3BCB6628DC2},,,16
-8573774.09963631,4718244.54486671,CENTER FOR SPIRITUAL LIVING DC,CSLDC.ORG,CHRISTIAN,400 E ST SW,CHURCHES,1,,PlacesofWorshipPt_494,398308.49,145349.18,,{9C634872-750C-46F7-A720-C263E0AFEE3D},,,17
-8573904.46255926,4718180.77118444,TRINITY EPISCOPAL CHURCH,TRINITYCHURCHDC.ORG,CHRISTIAN,7005 PINEY BRANCH ROAD NORTHWEST,CHURCHES,1,,PlacesofWorshipPt_757,398207,145299.765625,,{AC7F4A08-64E5-47A4-ADD2-2B3059EDEB3C},,,18
-8574477.09792259,4718132.61180701,Zen Buddhist Center,,BUDDHISM,7004 9TH STREET NW,TEMPLES,1,253852,PlacesofWorshipPt_709,397761.25,145262.54,,{0FFAC5CD-8354-42B1-BAFA-915B755960A2},,,19
-8573408.69208437,4718070.13135457,SEEKERS CHURCH,SEEKERSCHURCH.ORG,CHRISTIAN,276 CARROLL ST NW,CHURCHES,1,,PlacesofWorshipPt_433,398592.9,145213.91,,{31808452-12C0-4DCE-AAF2-8FCB8228DCE3},,,20
-8573654.76226148,4717845.85173955,New Testament Church,,CHRISTIAN,400 BUTTERNUT STREET NW,CHURCHES,1,259597,PlacesofWorshipPt_705,398401.32,145040.07,,{45D2C8BA-D461-44D8-8838-A65DA29DA474},,,21
-8573785.5613995,4717817.78012916,BRIGHT PEARL ZEN GROUP OF WASHINGTON,,BUDDHIST,6813 FIFTH STREET,TEMPLES,1,,PlacesofWorshipPt_771,398299.5,145018.328125,,{9DB818D7-8197-48A9-BA72-0C8DCE9237CE},,,22
-8574115.75304713,4717743.08779273,TAKOMA PARK BAPTIST CHURCH,TAKOMAPARKBAPTISTCHURCH.ORG,CHRISTIAN,635 ASPEN ST NW,CHURCHES,1,,PlacesofWorshipPt_483,398042.45,144960.48,,{3EAF2DCD-2D97-477C-AA8D-56730BBE528D},,,23
-8572702.21285178,4717422.5719155,VAN BUREN UNITED METHODIST CHR,VANBURENCHURCH.ORG,CHRISTIAN,35 VAN BUREN ST NW,CHURCHES,1,,PlacesofWorshipPt_408,399142.78,144711.79,,{671AF3D6-0B01-49FD-B6A7-6FC98558F38E},,,24
-8573632.01392207,4717406.76968721,PROMISED LAND BAPTIST CHURCH,THEPLBC.ORG,CHRISTIAN,401 VAN BUREN ST NW,CHURCHES,1,,PlacesofWorshipPt_426,398418.96,144699.65,,{57FEB2F0-75F9-4BBD-B31F-85F938BBD853},,,25
-8574568.25577075,4717153.19701404,NEW BETHEL CHR-GOD IN CHRIST,,CHRISTIAN,6440 PINEY BRANCH RD NW,CHURCHES,1,,PlacesofWorshipPt_461,397690.07,144503.23,,{CE70AD27-FFEC-445F-8A35-D67D55D302F2},,,26
-8579965.04041131,4717150.04671534,SHRINE-THE MOST BLESSED SCRMNT,BLESSEDSACRAMENTDC.ORG,CHRISTIAN,3630 QUESADA ST NW,CHURCHES,1,,PlacesofWorshipPt_477,393488.75,144503.13,,{1F9E7B57-A988-41EE-AB28-54CEDC87A9AF},,,27
-8572873.64051208,4717015.14682392,OVERCOMING FAITH MINISTRIES,,CHRISTIAN,6401 CHILLUM PL NW,CHURCHES,1,,PlacesofWorshipPt_391,399009.29,144395.92,,{C9D55304-999E-4D82-995B-BE33DDE365A8},,,28
-8580032.71068709,4716979.57351802,CHEVY CHASE PRESBYTERIAN CHR,CHEVYCHASEPC.ORG,CHRISTIAN,1 CHEVY CHASE CIR NW,CHURCHES,1,,PlacesofWorshipPt_448,393435.96,144371,,{1487FAFA-7DBC-49C6-B100-293BEDA76AC6},,,29
-8574863.92874285,4716980.9606758,St John United Baptist Church,STJOHNUNITEDBAPTIST.ORG,CHRISTIAN,6343 13TH STREET NW,CHURCHES,1,253260,PlacesofWorshipPt_626,397459.85,144369.76,,{EF93D213-C205-4B8A-8F56-B8C149928E3A},,,30
