X,Y,ID,TYPE,SOURCE,DATETIME,AUTOACKNOWLEDGED,INDC,LATITUDE,LONGITUDE,GLOBALID,CREATED,EDITED,OBJECTID
-8571823.43050162,4709646.42538338,5D39821,Single_Gunshot,WashingtonDC5D,2014/01/01 06:18:00+00,,,38.916,-77.002,{A5E91420-1F32-4855-9D4E-9812531F96B9},2021/03/10 21:45:53+00,2024/12/02 22:29:03+00,40001
-8571600.79094047,4696349.46115065,7D119445,Multiple_Gunshots,WashingtonDC7D,2014/01/01 05:00:10+00,,,38.823,-77,{4E43448E-FBA5-49FF-B58B-86B2E3825FC6},2021/03/10 21:45:53+00,2024/12/02 22:29:03+00,40002
-8570821.55410681,4706356.30963796,1D55993,Multiple_Gunshots,WashingtonDC1D,2014/01/01 05:00:10+00,,,38.893,-76.993,{7306123A-8090-41B9-8A05-CAAFEB5C7089},2021/03/10 21:45:53+00,2024/12/02 22:29:03+00,40003
-8574495.09764399,4713080.72787546,4D34326,Multiple_Gunshots,WashingtonDC4D,2014/01/01 05:00:11+00,,,38.94,-77.026,{CB4CCF70-1552-4A16-BC48-6004EE59F487},2021/03/10 21:45:53+00,2024/12/02 22:29:03+00,40004
-8564698.98277664,4705927.24166494,6D102264,Multiple_Gunshots,WashingtonDC6D,2014/01/01 05:00:12+00,,,38.89,-76.938,{EBF9195C-0052-485D-9A4B-ED47A6DCC2F7},2021/03/10 21:45:53+00,2024/12/02 22:29:03+00,40005
-8570376.27645881,4699922.20493049,7D119446,Multiple_Gunshots,WashingtonDC7D,2014/01/01 05:00:13+00,,,38.848,-76.989,{C10CC554-496C-44BB-816F-A368D500D8DB},2021/03/10 21:45:53+00,2024/12/02 22:29:03+00,40006
-8574829.05637584,4715657.21680269,4D34327,Multiple_Gunshots,WashingtonDC4D,2014/01/01 05:00:22+00,,,38.958,-77.029,{B4BB4DF3-D1ED-4CEC-A2AF-A574C01D7828},2021/03/10 21:45:53+00,2024/12/02 22:29:03+00,40007
-8565144.26073121,4706213.28499206,6D102265,Single_Gunshot,WashingtonDC6D,2014/01/01 05:00:24+00,,,38.892,-76.942,{0B3AD2CA-2007-409A-9B4B-337D0673AEA1},2021/03/10 21:45:53+00,2024/12/02 22:29:03+00,40008
-8569708.35984332,4710218.72869709,5D39703,Single_Gunshot,WashingtonDC5D,2014/01/01 05:00:24+00,,,38.92,-76.983,{20522BC6-7C17-42EF-A203-5B446FEAA41F},2021/03/10 21:45:53+00,2024/12/02 22:29:03+00,40009
-8563808.42623613,4706356.30982814,6D102266,Single_Gunshot,WashingtonDC6D,2014/01/01 05:00:26+00,,,38.893,-76.93,{AEBEFEEC-A16C-4960-9FDB-BE05D892F122},2021/03/10 21:45:53+00,2024/12/02 22:29:03+00,40010
